ID,Component ID,Image,Component Name,Mounting Type,Manufacturer,Manufacturer Part #,Manufacturer Link,Supplier,Supplier Part #,Supplier Link,Supplier Description,ShenZhen OPL MPN,Component Notes,Quantity,Designator,Notes
1,36,,HMI Board v0.2.0,Fastener,Seeed Studio,,,Octopi Team,ODS-HMIv0.2.0,https://github.com/ethanjli/octopi-driver-board/tree/ODS-HMIv0.2.0/Stacked v0.2.0/HMI%20Board,HMI Board v0.2.0,,,1,,
2,32,,1x12 1.5mm Pitch Right-Angle Header,SMT,Molex,5040501291,https://www.molex.com/molex/products/part-detail/pcb_headers/5040501291,Digi-Key,WM16219CT-ND,https://www.digikey.com/product-detail/en/molex/5040501291/WM16219CT-ND/6702294,CONN HEADER SMD R/A 12POS 1.5MM,,,1,J1,
3,31,,1x4 1.5mm Pitch Right-Angle Header,SMT,Molex,5040500491,https://www.molex.com/molex/products/part-detail/pcb_headers/5040500491,Digi-Key,WM10137CT-ND,https://www.digikey.com/product-detail/en/molex/5040500491/WM10137CT-ND/4357653,CONN HEADER SMD R/A 4POS 1.5MM,,,1,J2,
4,37,,JST 1x6 Right-Angle Shrouded PH Header,SMT,JST,B6B-PH-SM4-TBT(LF)(SN),https://www.jst-mfg.com/product/detail_e.php?series=199,Digi-Key,455-3363-1-ND,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-PH-SM4-TBT-LF-SN/9918862,CONN HEADER SMD 6POS 2MM,B6B-PH-SM4-TB(LF)(SN),,1,J3,
5,38,,Rotary Potentiometer,PTH,Bourns,PCW1J-C24-BAB103L,https://www.bourns.com/products/potentiometers/industrial-panel-controls?product=PC-Slimline%20Pot,Digi-Key,PCW1J-C24-BAB103L-ND,https://www.digikey.com/en/products/detail/bourns-inc/PCW1J-C24-BAB103L/3534177,POT 10K OHM 3/4W PLASTIC LINEAR,,,2,"U1,U2",
6,39,,Phoenix 1x3 Shrouded SSL Header,SMT,Phoenix Contact,1778706,https://www.phoenixcontact.com/online/portal/us?uri=pxc-oc-itemdetail:pid=1778706&library=usen&tab=1,Digi-Key,277-10159-1-ND,https://www.digikey.com.mx/en/products/detail/phoenix-contact/1778706/5131541,HEADER 3POS SMT WHITE,,,1,U3,
7,40,,Hirose 2x6 Shrouded DF11 Header,SMT,Hirose,DF11C-12DP-2V(57),https://www.hirose.com/product/p/CL0543-0686-2-57,Digi-Key,H124541CT-ND,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DF11C-12DP-2V-57/4282018,CONN HEADER SMD 12POS 2MM,,,1,CN1,
8,41,,1K 0805 Resistor,SMT,Yageo,RC0805FR-071KL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-1.00KCRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0805FR-071KL/727444,RES SMD 1K OHM 1% 1/8W 0805,RC0805FR-071KL,,4,"R1,R2,R3,R5",
9,42,,2K 0805 Resistor,SMT,Yageo,RC0805FR-072KL,https://www.yageo.com/en/Product/Index/rchip/thick_film_general_purpose,Digi-Key,311-2.00KCRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072KL/727664,RES SMD 2K OHM 1% 1/8W 0805,RC0805FR-072KL,,2,"R4,R6",
10,43,,1x3 Female SMT Header,SMT,Sullins Connector Solutions,PPPC031LFBN-RC,https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf,Digi-Key,S7036-ND,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC031LFBN-RC/810175,CONN HDR 3POS 0.1 GOLD PCB,,,,,